,Sample,Question,Question Type,Question Type,Correct Grammar,Suggestions
CWI,What type of diabetes is diagnosed by testing in the urine?,1,What,,1,
CWL,Does glucose move from bloodstream to cell?,1,YN,,1,
CWN,A portion of profits goes towards.?,1,YN,,1,
CWP,There is clear dental disease occurring here and your picture shows many indications of this.,0,,,0,"There is clear dental disease occurring here, and your picture shows many indications of this."
CWQ,Involuntary muscle movements can occur due to leftover neurotransmitters in the nerve endings.,0,,,1,
CWR,How long does it take for my dog to brush his teeth without it hurting?,1,How,,1,
CWS,What's the first indicator of gum disease?,1,What,,1,
CWX,Can the diagnosis of diabetes be done directly with actual use?,1,YN,,1,
CXE,How do you manage a disease?,1,How,,1,
CXG,What is the right question to ask a vet if you decide to work for them?,1,What,,1,
CXJ,The answer is different for every pet.,0,,,1,
CXL,How do dogs get teething?,1,How,,1,
CXN,What happens after inadequate insulin or interference of insulin action on the body preventing glucose regulation?,1,What,,0,"What happens after inadequate insulin or interference of insulin action on the body, preventing glucose regulation?"
CXT,How do the dogâ€™s top teeth have overgrowth? How do they do it?,1,How,How,1,
CXV,d.) Wondering whether or not you should have your petâ€™s teeth checked at their annual visit?,1,YN,,0,d.) Wondering whether you should have your petâ€™s teeth checked at their annual visit?
CYG,What are the worst signs a pet is showing?,1,What,,1,
CYH,Just brush the tooth surfaces closest to the lips.,0,,,1,
CYJ,What is the average age for diabetic cats?,1,What,,1,
CYT,What can be challenging to practice a daily fitness regimen with cats?,1,What,,1,
CYV,Are they having more bad days than good ones?,1,YN,,1,
CZE,How can you give insulin injections?,1,How,,1,
CZH,What is a chronic pain that results in significant infection?,1,What,,1,
CZI,How can we have urine test to detect diabetes?,1,How,,1,
CZN,How do dogs or cats get diabetes?,1,How,,1,
CZS,"Once plaque and tartar has been established in the mouth, it is very difficult to remove it through the use of home care products.",0,,,1,
CZU,What type of questions are there in media?,1,What,,1,
CZW,What is the name of an aftercare provider that provides personalized services?,1,What,,1,
DAC,Does drinking excessive amount of water cause excessive urine?,1,YN,,1,
DAD,What are the best effective products for skincare?,1,What,,1,
DAI,What do cloudy eyes do in dogs?,1,What,,1,
DAN,There are many clinics that require this and build it into the quote to the point that clients may not have a choice.,0,,,1,
DAO,What is the best medication for ketoacidosis?,1,What,,1,
DAS,Which animals or nature parts of your pet should be cremated/burnt down?,1,Which,,1,
DAU,What causes body to breakdown body fat?,1,What,,0,What causes the body to breakdown body fat?
DAW,Brushing the teeth is the best way to reduce plaque bacteria on the tooth surface.,0,,,1,
DAY,What can I do to prevent dental disease in dogs and cats?,1,What,,1,
DBC,"After your arrival, you will need to sign a consent form.",0,,,1,
DBF,How and why are cats most likely to get older?,1,Why,How,1,
DBN,Do you have a pet and would you suggest a veterinarian to take care of it?,1,YN,,0,"Do you have a pet, and would you suggest a veterinarian to take care of it?"
DBO,The IV catheter allows easier administration of the drugs.,0,,,1,
DBZ,Can dog maintain his type 1 diabetes?,1,YN,,1,
DCC,"Does pain control is adequate? If not, how?",1,How,,1,
DCE,What is the key to managing diabetes in pets to keep your pet's blood sugar near normal levels and avoid too high or too low levels that can be what?,1,What,,1,
DCF,What are the types of questions I may ask?,1,What,,1,
DCG,What causes a decreased appetite?,1,What,,1,
DCJ,"Why do we experience pain, not pleasure?",1,Why,,1,
DCN,What is the cost of a dog tooth extraction?,1,What,,0,What is the cost of a dog-tooth extraction?
DCO,Is there a reversible form of dental disease?,1,YN,,1,
DCP,What are toothpastes available at pet suppliers both online and in-store as well as at veterinary clinics?,1,What,,1,
DCR,Can dental disease be same as that in humans?,1,YN,,0,Can dental disease be the same as that in humans?
DCS,What nutrients are easily found in a human intestine when it is eaten?,1,What,,1,
DCV,How can dogs and cats live together at any age?,1,How,,1,
DCX,Who are trained professional pet loss grievers?,1,Who,,1,
DCZ,"Alternatively, you could consider paying a visit to them to help out.",0,,,1,
DDI,What does enzymatic toothpaste help with?,1,What,,1,
DDK,Can you provide the types of treatment that include insulin injection or dietary manipulation?,1,YN,,1,
DDN,What can be used to mark bar code and inscription in cremation remains?,1,What,,1,
DDO,What's a daily fitness plan for cats?,1,What,,1,
DDT,What are a common problem with dogs?,1,What,,0,What is a common problem with dogs?
DDU,What type of care can not improve your pet's quality of life?,1,What,,1,
DDW,What are some of the types of questions asked in Quora?,1,What,,1,
DEB,How should I learn to get my dog's insulin regulation?,1,How,,1,
DEC,Which is the best diet?,1,Which,,1,
DEG,What is included in the cremation fee?,1,What,,1,
DEO,Where do pet parents take their children directly to?,1,Where,,1,
DES,How does whitening teeth really make it whiter?,1,How,,1,
DFA,What are some of the older dogs in need of cleaning and possibly some extractions?,1,What,,1,
DFB,How do you brush dogs?,1,How,,1,
DFG,"If no oral care is taken whether it be through brushing or a dental cleaning, the bacteria can cause infection of the gums and lead to loss of the bone that holds their teeth in place.",0,,,0,"If no oral care is taken, whether it be through brushing or a dental cleaning, the bacteria can cause infection of the gums and lead to loss of the bone that holds their teeth in place."
DFI,What are causes of fat loss?,1,What,,1,
DFJ,How can I contact my vet if I have any questions about my animalâ€™s health or care?,1,How,,1,
DFN,How do you start brushing your cat's teeth?,1,How,,1,
DFO,What kind of questions are you asking a friend?,1,What,,1,
DFR,What kind of questions do you have and what do you ask you?,1,What,What,0,"What kind of questions do you have, and what do you ask you?"
DFV,What is the red line on the bottom of the teeth where tartar is contacting the gum?,1,What,,1,
DFX,What is an accelerated form of natural decomposition that uses a sterile water solution?,1,What,,1,
DGC,How do I clean my pet's teeth?,1,How,,1,
DGD,What should a veterinarian do with baby teeth after six months?,1,What,,1,
DGE,Is there anything people can do before going to hospice?,1,YN,,1,
DGH,"If your cat is older, it's possible that poor dental health and tooth loss has occurred over time without a specific condition creating what?",1,What,,1,
DGK,How can I get my dog to the veterinarian?,1,How,,1,
DGO,What is the perfect diet for a diabetic dog?,1,What,,1,
DGP,What type of overgrowth can dogs achieve between the two lower or upper levels of the canine tooth?,1,What,,1,
DGS,What can cause more substantial plaque buildup in toy dogs?,1,What,,1,
DGY,What are some examples of a pet's body bag?,1,What,,1,
DHA,How long can you chew your dog's teeth without brushing stress?,1,How,,1,
DHB,What is a comprehensive oral health assessment?,1,What,,1,
DHF,How do you get your pet to the veterinarian for a pet checkup?,1,How,,1,
DHH,Where can I buy most of the sympathy card we use most now?,1,Where,,1,
DHM,How many pets are allowed to be placed in the cremation chamber?,1,How,,1,
DHV,How do I improve my brushing abilities?,1,How,,1,
DHW,Where is a list of effective products available?,1,Where,,1,
DHX,What do animals are at risk?,1,What,,1,
DHZ,What should I do when I am sick with a virus?,1,What,,1,
DIA,"Before my current cats, I always owned senior cats.",0,,,1,
DIH,"Components may include diet, medications, and therapies.",0,,,1,
DII,What is the type of question we hear?,1,What,,1,
DIL,"If you have any questions about your petâ€™s health or management, contact your veterinarian.",0,,,1,
DIN,"An announcement is made over the intercom, Angel to Treatment, after this so that the staff know a euthanasia is in process and to keep conversations down and avoid laughter and vacuuming.",0,,,1,
DIR,What is the root cause of hind leg weakness?,1,What,,1,
DIV,Can your dogs benefit from doing their regular housekeeping twice a year?,1,YN,,1,
DJB,How can a dentist help you see the tartar for yourself?,1,How,,1,
DJC,What type of exercise is recommended for your pet?,1,What,,1,
DJF,How do deciduous teeth fall out?,1,How,,1,
DJI,What are some older dogs in need of cleaning and possibly some extractions?,1,What,,1,
DJK,What are the causes of weight loss?,1,What,,1,
DJP,What is the main cause of inability for the body to regulate blood sugar by an abnormality of the pancreas?,1,What,,0,"What is the main cause of inability for the body to regulate blood sugar, by an abnormality of the pancreas?"
DJV,What specifics can be applied directly by the dog owner?,1,What,,1,
DJW,How much time can I keep my dog from licking his teeth?,1,How,,1,
DKD,"What's a better chance for your pet to have for a longer, healthier life?",1,What,,1,
DKI,"How does hospice focus on helping death be as merciful, dignified and painless as possible?",1,How,,1,
DKL,What should be done after the more common causes are ruled out?,1,What,,1,
DKM,What are some good questions to ask?,1,What,,1,
DKN,We recommend you call in advance.,0,,,1,
DKO,"What are the physical health problems in dogs and cats, and what are the possible causes?",1,What,,1,
DKQ,It is quite common for this to happen and I would encourage you to allow your veterinarian to address any unanticipated concerns during this procedure.,0,,,0,"It is quite common for this to happen, and I would encourage you to allow your veterinarian to address any unanticipated concerns during this procedure."
DKS,"Canine dental disease is extremely common and if you already know your dog has bad breath, there is going to be some level of tartar accumulation that is present.",0,,,1,
DKT,Which question type is considered boring?,1,Which,,1,
DLA,What kind of questions do you ask your friends and coworkers?,1,What,,1,
DLH,Some veterinary practices can make cremation arrangements on behalf of their clients.,0,,,1,
DLI,How many feet should the top of the body be covered in?,1,How,,1,
DLM,Is there a universal formula for glucose transport in the body regardless of the source of sugar or amount of glucose in the blood?,1,YN,,0,"Is there a universal formula for glucose transport in the body, regardless of the source of sugar or amount of glucose in the blood?"
DLO,How does a dentist see tartar?,1,How,,1,
DLT,"I will however, recommend a thorough screening for potential sources of complications prior to anesthesia.",0,,,0,"I will, however, recommend a thorough screening for potential sources of complications prior to anesthesia."
DLZ,What are the benefits of brushing your cat teeth before it feeds?,1,What,,1,
DMC,How do I safely leave a pet of yours just after the death?,1,How,,1,
DMD,What kind of medication is best for ketoacidosis prevention?,1,What,,1,
DMG,What is the best solution for tartar build up?,1,What,,1,
DMM,How does my pet feel?,1,How,,1,
DMO,What type of overgrowth does the top tooth of a dog have?,1,What,,0,What type of overgrowth does the top teeth of a dog have?
DMP,"What do some aftercare providers charge by weight, species or just by the service being offered?",1,What,,0,"What do some aftercare providers charge by weight, species, or just by the service being offered?"
DMS,How can a dentist help you see the tartar on teeth?,1,How,,1,
DMW,What is a poem that has helped a lot of clients feel comfortable with their decision for euthanasia?,1,What,,1,
DMX,What can I do to help me treat infection?,1,What,,1,
DND,How can I prevent ketoacidosis?,1,How,,1,
DNG,What drug is introduced in the line IV?,1,What,,1,
DNH,What happens if you donâ€™t brush your dog or catâ€™s teeth?,1,What,,1,
DNK,Who has dedicated their lives to help pet parents say goodbye to their beloved companions?,1,Who,,1,
DNL,What is the fastest way to kill the plaque growing on tooth veneers?,1,What,,1,
DNM,What type of hospice care is usually a suitable choice to a patient diagnosed with terminal illnesses?,1,What,,1,
DNP,What type of exercise should I perform for my dog?,1,What,,1,
DNS,"Once youâ€™ve completed the necessary forms, your vetâ€™s staff will take you and your pet to a private room.",0,,,1,
DOB,How long can it take for insulin to regulate itself?,1,How,,1,
DOD,How can trees be planted?,1,How,,1,
DOE,What types of injections are not painful?,1,What,,1,
DOG,What should I know to ensure my pet's safety?,1,What,,1,
DOH,What is the order in which ashes will be returned to the family that private cremated?,1,What,,1,
DOK,What are the following aftercare providers?,1,What,,1,
DOL,"In dogs already diagnosed with diabetes, ketoacidosis can often be prevented with regular glucose monitoring performed at home.",0,,,1,
DOP,How do hospices care about dying?,1,How,,1,
DOS,What are examples of a veterinarian having their own aftercare provider on site?,1,What,,1,
DOW,What causes excessive drinking and urination?,1,What,,1,
DOX,I will respectfully disagree with your veterinarian.,0,,,1,
DPA,How much soil does the top of a body need?,1,How,,1,
DPE,What do we have in common with our own pets?,1,What,,1,
DPH,What will happen if neurotransmitters are left in the nerve endings?,1,What,,1,
DPX,"If your dog chews on something harder than the enamel, it will be what?",1,What,,1,
DQF,What type of questions do you ask/get?,1,What,,1,
DQO,What diet are the most common ones?,1,What,,1,
DQV,What is different aftercare provider?,1,What,,0,What is a different aftercare provider?
DQX,When is Euthanasia appropriate? Why is it an option?,1,When,Why,1,
DRC,What is the private cremation in which the pet is cremated?,1,What,,1,
DRD,What websites have a list of ingredients that you can assess to determine if it is right for your pet?,1,What,,1,
DRE,This would be a very unpleasant experience for the veterinarian but I donâ€™t think it would result in a very severe penalty.,0,,,0,"This would be a very unpleasant experience for the veterinarian, but I donâ€™t think it would result in a very severe penalty."
DRL,Just to share a few of themâ€¦.,0,,,1,
DRO,Does my vet need to complete the paperwork for the aftercare provider?,1,YN,,1,
DRP,How do pet insurers cover pets?,1,How,,1,
DSA,What is the reason behind hind leg weakness?,1,What,,1,
DSC,Pre-anesthetic bloodwork is certainly helpful and important before anesthesia.,0,,,1,
DSD,What life-threatening condition does inadequate insulin cause?,1,What,,1,
DSE,"Contact your veterinarian or an emergency clinic immediately if you observe any of these signs, and consult your veterinarian about what you should do in the meantime to help your pet until it can be examined by a veterinarian.",0,,,1,
DSF,Which tooth is second to the left of a large canine tooth can you describe?,1,Which,,1,
DSK,What does the American Kennel Club clarify?,1,What,,1,
DSN,What information can help you make wise decision about your pet's welfare?,1,What,,0,What information can help you make a wise decision about your pet's welfare?
DSP,What are the ashes and remaining bone fragments collectively known as? What is their place?,1,What,,1,
DSV,What are some ways to prevent wildlife scavenging?,1,What,,1,
DSW,Who dedicate their lives to helping pet parents say goodbye?,1,Who,,1,
DSZ,"Some key factors include possible treatment outcomes, potential disabilities, and exceptional care needs.",0,,,1,
DTA,How can you tell a dog what it is doing?,1,How,,1,
DTC,How can animals' eyes be kept closed (sometimes with the eyes closed)?,1,How,,1,
DTD,"If there is not enough insulin or the body is unable to use the insulin, glucose accumulates in high levels in the blood â€“ a condition called hyperglycemia.",0,,,0,"If there is not enough insulin or the body is unable to use the insulin, glucose accumulates in high levels in the blood â€“ a condition called hyperglycemia."
DTM,What is an example of overactivity of adrenal gland in dogs?,1,What,,1,
DTN,What are common issues in a canine patient?,1,What,,1,
DTP,What kind of support groups are popping up all the time?,1,What,,1,
DTQ,"As the ASPCA explains, the fundamental aim is to offer the best possible quality of life during this stage.",0,,,1,
DTT,What do you need to do to reintroduce brushing?,1,What,,1,
DTU,What is this? How can I explain these types of questions?,1,How,,1,
DTW,What are some of the risk factors for diabetes?,1,What,,1,
DUB,How can a pet's oral health be assessed properly?,1,How,,1,
DUD,Where in the time period is ad-hoc procedures typically performed?,1,Where,,0,Where in the time period are ad-hoc procedures typically performed?
DUH,What type of bags do veterinary clinics and aftercare providers use to transport and cremate animals?,1,What,,1,
DUO,What causes the body to breakdown fat?,1,What,,1,
DUP,What does a phone number to call best at least 48 hrs before the expected arrival date?,1,What,,1,
DUR,"What signs of insulin overdose that can include weakness, tremors, seizures, loss of appetite?",1,What,,1,
DVA,What should I lose in cats and dogs by four months of age?,1,What,,1,
DVD,When does diabetes occur when the body can not respond to the amount of insulin made?,1,What,,0,"When does diabetes occur, when the body can not respond to the amount of insulin made?"
DVE,When and how do pets in the home be cremated?,1,How,When,1,
DVO,What is the best care step for your pet?,1,What,,1,
DVU,What can be performed after more common causes are ruled out?,1,What,,1,
DVY,"If you do not see adult teeth, what should you consult your veterinarian?",1,What,,1,
DWC,What is it like to have diabetes?,1,What,,1,
DWI,How can we use human toothpaste for cats?,1,How,,1,
DWJ,What's the commitment required to perform this care?,1,What,,1,
DWK,What are some groups that can help grieving pet owners in North America?,1,What,,0,What are some groups that can help to grieve pet owners in North America?
DWP,I would suggest you consult with your veterinarian about your dogâ€™s teeth.,0,,,1,
DWV,Are cats hypoglycemic? How do cats become hypoglycemic?,1,How,YN,1,
DWW,Increased appetite.,0,,,1,
DWX,What is a quick-acting drug that takes effect in seconds?,1,What,,1,
DWZ,Does cat claws allow for exercise?,1,YN,,1,
DXA,What are they having more bad days than good ones?,1,What,,1,
DXE,Carefully probing the teeth and examining X-rays (which show the internal tooth structure and surrounding bone) will determine the best course of action.,0,,,1,
DXG,Can dogs and cats with diabetes have diabetes symptoms?,1,YN,,0,Can dog and cats with diabetes have diabetes symptoms?
DXJ,What's a risk factor for diabetes?,1,What,,1,
DXK,How many feet should each part of the body have?,1,How,,1,
DXP,What kind of questions do you ask others?,1,What,,1,
DXX,Where and how are the ashes returned home?,1,Where,,1,
DYG,Why is my veterinary veterinarian having their own aftercare provider on-site?,1,Why,,1,
DYH,How can you prevent the symptoms of a medical condition if you don't treat it?,1,What,,1,
DYI,What is the type of test of diabetes?,1,What,,1,
DYJ,How do you make final arrangements for your own pet?,1,How,,1,
DYP,How can I whiten my teeth and gums?,1,How,,1,
DYS,"Without insulin to help convert the glucose in the bloodstream into fuel, high levels of glucose build up in the blood.",0,,,1,
DYY,When does insulin pellets vaporize?,1,When,,1,
DZB,Veterinarians may select their aftercare provider for different reasons.,0,,,1,
DZC,What foods help absorption of glucose?,1,What,,1,
DZF,Inquiring ahead of time and taking care of billing prior to the euthanasia is recommended to avoid additional stress during those final moments.,0,,,1,
DZG,What is illegal in some jurisdictions to bury a pet in urban or suburban areas?,1,What,,1,
DZL,What is a poison that causes polymer damage?,1,What,,1,
DZO,What are some of the different types of questions?,1,What,,1,
DZR,How can an increase in appetite in cats lead to weight loss?,1,How,,1,
DZW,What happens to cloudy eyes in dogs?,1,What,,1,
DZY,Do dogs with severely worn teeth usually have a history of chewing on hard items?,1,YN,,1,
DZZ,Is there a risk factor for diabetes?,1,YN,,1,
EAK,What happens if the human body cannot use glucose?,1,What,,1,
EAO,"As dogs and cats age, they may also develop other diseases that can result in diabetes or could significantly affect their response to treatment for diabetes, including overactivity of the adrenal gland in dogs (hyperadrenocorticsm) or overactivity of the thyroid gland in cats (hyperthyroidism), pancreatitis, heart disease, kidney disease, urinary tract infections and skin infections.",0,,,1,
EAV,The process of eating or attempting to chew causes discomfort if there are oral lesions and it can cause a cat to turn away from its food and run.,0,,,0,"The process of eating or attempting to chew causes discomfort if there are oral lesions, and it can cause a cat to turn away from its food and run."
EBG,"If a pet will not allow you to handle their mouth or the owner is not physically able, then a product that is taken in through feeding or chewing would be best.",0,,,1,
EBJ,How can you begin daily home care after your pet has recovered from surgery?,1,How,,1,
EBL,How long do glucose curves be used to measure insulin resistance?,1,How,,1,
EBO,"In this particular case, there is the potential that the coconut oil could do some harm so I would eliminate that ingredient.",0,,,0,"In this particular case, there is the potential that the coconut oil could do some harm, so I would eliminate that ingredient."
EBQ,What does cloudy eyes do in dogs?,1,What,,1,
EBU,"For those pets being taken home, we do offer decorative plastic bags with a zip lock to place the pet in, Dr. Schmidt said.",0,,,1,
EBV,How old is diabetic dog?,1,How,,1,
EBY,What isn't easy to say goodbye to your animal friend?,1,What,,1,
ECC,How does a dog get rid of sugar by sending it out through a food box?,1,How,,1,
ECE,What causes plaque builds up in your mouth?,1,What,,1,
ECL,What can cats be if they require too much insulin?,1,What,,1,
ECT,What is comprehensive oral health assessment and treatment?,1,What,,1,
EDB,What causes weight loss?,1,What,,1,
EDC,What type of diet is used to decrease urine production?,1,What,,1,
EDE,Which providers should you contact your pet for financial support?,1,Which,,1,
EDF,Why are needles so thick?,1,Why,,1,
EDI,How often does your pet have to loose control of their bowels?,1,How,,0,How often does your pet have to lose control of their bowels?
EDK,How does my dog feel for its pain?,1,How,,1,
EDM,This is the extent of testing I perform for what appears to be a healthy patient.,0,,,1,
EDW,How is dental infection painful for cats?,1,How,,1,
EEA,How do you check for kind diabetes?,1,How,,0,How do you check for kind of diabetes?
EED,Why can cats get more diabetes?,1,Why,,1,
EEH,What is a common concern that a lot of clients ask me when it comes to dental care?,1,What,,1,
EEI,What are common concerns that a lot of clients ask about dental care?,1,What,,1,
EEQ,What should be labeled for dogs and cats?,1,What,,1,
EET,Can a child accompany their pet in a ceremony?,1,YN,,1,
EEU,What causes an increase in appetite in cats and an increased weight loss?,1,What,,1,
EEV,"What are anemia, infection, and urinalysis?",1,What,,1,
EEX,What kind of diabetes occurs when the pancreas doesn't make enough insulin?,1,What,,1,
EEZ,What is the name of the company which has issued a position statement on anesthesia-free cleanings?,1,What,,1,
EFD,How do we wish to leave our pets before cremation?,1,How,,1,
EFJ,What can be part of a hospice or palliative care plan?,1,What,,1,
EFM,What are the most efficient anesthesia protocols?,1,What,,1,
EFT,What is the names of each pet in your care and when?,1,What,,0,What are the names of each pet in your care and when?
EFX,Regular examinations and testing performed by your veterinarian may be supplemented by at-home monitoring of your petâ€™s blood and urine glucose levels at home.,0,,,1,
EGA,Is it hard to say goodbye to a companion animal?,1,YN,,1,
EGD,How do I know if my dog has gum disease if I lift their lips?,1,How,,1,
EGF,The gingiva is growing onto the tooth.,0,,,1,
EGG,How do I get pet parents to make an appointment in advance?,1,How,,1,
EGH,What can cause teeth to move in an improper position in your mouth at night?,1,What,,1,
EGI,"What causes the buildup of ketone bodies that, at a high enough level, will cause a metabolic derangement?",1,What,,1,
EGJ,How often do we do an extensive dental procedure on a dog?,1,How,,1,
EGL,Is it necessary for recovery to have a professional cleaning done?,1,YN,,1,
EGN,How do my parents respond to me?,1,How,,1,
EGO,How do I monitor my pet's health before she falls ill?,1,How,,1,
EGQ,Why is Enzymatic toothpaste good for your mouth?,1,Why,,1,
EGS,What is the first step to have your petâ€™s teeth examined at a veterinary clinic?,1,What,,1,
EGT,"Monitoring includes regular glucose curves and additional exams and testing
 based on the pet ownerÂ’s monitoring of their catÂ’s clinical signs in the home setting.",0,,,1,
EGV,How can I remove plaque from tooth?,1,How,,0,How can I remove plaque from a tooth?
EGY,What is a common term for a pet's oral health assessment and treatment?,1,What,,1,
EHE,What does the glucose overflow into?,1,What,,1,
EHI,What are the different types of diabetes common in dogs?,1,What,,1,
EHJ,How veterinarians conduct euthanasia?,1,How,,1,
EHP,What does your pet name mean?,1,What,,1,
EHW,What happens when glucose is not stored in my blood?,1,What,,1,
EHY,How can a puppy lose their deciduous teeth?,1,How,,1,
EIA,Do dogs have dental diseases?,1,YN,,1,
EIH,What is the most important part of a dog's dental health assessment?,1,What,,1,
EIK,How can I provide hospice care?,1,How,,1,
EIN,What are the best home care products to start with?,1,What,,1,
EIP,What causes Type 2 diabetes in cats?,1,What,,1,
EIV,What are some of the best types of questions?,1,What,,1,
EIX,What is a common practice?,1,What,,1,
EIY,What type of diabetes is very bad if it can be treated by only insulin?,1,What,,1,
EIZ,"An alternative to flame-based cremation is aquamation, also referred to as bio-cremation or gentle water cremation, which uses a chemical process called alkaline hydrolysis.",0,,,1,
EJG,How do we know if we can't see teeth at four months of age?,1,How,,1,
EJJ,What is the name of a dog that is under the age of 6 months?,1,What,,1,
EJK,What is the greatest step to take with your pet?,1,What,,1,
EJO,What are some of the best ways to protect your pets' health?,1,What,,1,
EJQ,What are some of the household tools and gadgets that can be used?,1,What,,1,
EJR,How much does the cost of euthanasia cover?,1,How,,1,
EJU,What is the name of Veterinary Oral Health Council?,1,What,,1,
EJX,What is a cloudy eye?,1,What,,1,
EKF,What is the condition caused by the body not able to use glucose?,1,What,,1,
EKG,How does a dentist recommend you do a thorough oral exam?,1,How,,1,
EKJ,What should be sufficient treatment or prevent infection in a situation like this?,1,What,,1,
EKM,What can help you put your furry friend's condition into perspective?,1,What,,1,
EKN,Does diabetes affect dogs or cats?,1,YN,,1,
EKS,When will you be brought to a viewing area to witness the process of painting?,1,When,,1,
EKT,How many bristles are very soft?,1,How,,1,
EKX,What causes diabetes insipidus?,1,What,,1,
EKZ,Can dogs have type 1 diabetes?,1,YN,,1,
ELC,Pet parents who provide regular care of their petâ€™s teeth at home can maintain good oral health.,0,,,1,
ELJ,What poison can cause multi organ damage?,1,What,,1,
ELL,What can sometimes go from extreme lethargy to seizures?,1,What,,1,
ELM,What are some different types of cats?,1,What,,1,
ELQ,What are some factors that can affect a human dog's health?,1,What,,1,
ELU,What would be difficult to exercise with a cat?,1,What,,1,
EMB,How insulin convert sugar in the blood into insulin?,1,How,,1,
EME,What does a arrangement between your veterinarian and aftercare providers depend on?,1,What,,0,What does an arrangement between your veterinarian and aftercare providers depend on?
EMG,"Dogs and cats are also more prone to trauma to their teeth due to things like falling, playing and chewing on objects that are too hard.",0,,,1,
EMH,What is an ultrasonic scaler that vibrates 1000 times a second and creates an extremely high pitched whine that will terrify any cat?,1,What,,0,What is an ultrasonic scaler that vibrates 1000 times a second and creates an extremely high-pitched whine that will terrify any cat?
EMN,"Deciding not to provide daily home care for your pet is fine, but they must get regular professional dental cleanings at a veterinary clinic.",0,,,1,
EMP,How do I take care of my pet?,1,How,,1,
EMU,"What is the key to managing diabetic dogs, to keep your pet's blood sugar near normal levels and avoid too high or too low levels that can be what?",1,What,,1,
ENB,When and why is Euthanasia an appropriate option?,1,When,,1,
ENC,How can I give something by oral?,1,How,,1,
END,What does a non-foaming formula promote?,1,How,,1,
ENP,What do cats eat when not being fed?,1,What,,1,
ENS,What is my pet's name?,1,What,,1,
ENU,There are two stages of gum disease â€“ gingivitis and periodontitis.,0,,,0,There are two stages of gum disease â€“ gingivitis and periodontitis.
ENV,What are all types of questions?,1,What,,1,
ENX,Who cares for my dogâ€™s teeth at home?,1,Who,,1,
ENY,How do bad days affect the good days?,1,How,,1,
EOB,Who are the Certified Pet Loss Counselors?,1,Who,,1,
EOD,Why do I usually do not avoid dental work in dogs?,1,Why,,1,
EOG,What are the best bad days of your life?,1,What,,1,
EOH,What are the causes for discoloration in cremains?,1,What,,1,
EON,Tooth brushing can also be performed using finger brushes as long as the bristles are very soft and there is no chance of being bitten.,0,,,0,"Tooth brushing can also be performed using finger brushes, as long as the bristles are very soft and there is no chance of being bitten."
EOT,What can lead to a buildup of plaque that is not taken care of?,1,What,,1,
EOW,What type of exercise is recommended for a pet?,1,What,,1,
EOZ,What is the best insulin pump to buy in dogs?,1,What,,0,What is the best insulin pump to buy for dogs?
EPB,"Yes, in fact, this is recommended as they are the specialists in dealing with afterlife care.",0,,,1,
EPL,What can cats or dogs do with IV dextrose?,1,What,,1,
EPM,What is the same anesthesia used for surgery?,1,What,,1,
EPO,How do you know if a puppy has foreign material on its stomach?,1,How,,1,
EPP,"If your pet has food allergies to certain ingredients, remember to check what before purchasing?",1,What,,1,
EPS,How long can you brush a dog's teeth without debilitating them?,1,How,,1,
EPU,What causes a cat to run away from the food it has been given?,1,What,,1,
EPX,Why does a dog have baby teeth?,1,What,,1,
EPZ,What is a factor in dogs and cats?,1,Why,,1,
EQI,What's the most possible reason to get a high blood sugar in your dog?,1,What,,1,
EQP,Can a pet hide its pain and continue to eat?,1,YN,,1,
EQU,When do deciduous teeth fall out on their own?,1,When,,1,
EQW,What kind of questions do you ask the people who work there?,1,What,,1,
EQY,What is cloudy eye?,1,What,,1,
ERH,"When problems do occur, it is important that your veterinarian is consulted.",0,,,1,
ERN,How are urine tests used in diabetic monitoring?,1,How,,1,
ERP,What can happen to a pet's behavior?,1,What,,1,
ERT,"When glucose reaches the same level as blood sugar, what does it overflow into?",1,What,,1,
ERU,What are some indicators of redness on the gums?,1,What,,1,
ERV,What is most important part of your petâ€™s treatment?,1,What,,0,What is the most important part of your petâ€™s treatment?
ERW,The brushing action against the teeth surface lowers the presence of plaque bacteria.,0,,,1,
ERX,What are signs of redness in gums?,1,What,,1,
ESB,What is inflammation of the gums?,1,What,,1,
ESD,How does hospice care for children?,1,How,,1,
ESE,A dog is getting rid of sugar by sending it out through what?,1,What,,1,
ESF,What is the most overlooked dental problem?,1,What,,1,
ESH,What are the symptoms of lethargy and coma?,1,What,,1,
ESI,Can they respond to me in their usual ways?,1,YN,,1,
ESM,"When food passes through the intestines, what is one of the nutrients absorbed from the food?",1,What,,1,
ESP,What type of provider is best for your furry friend?,1,What,,1,
ESS,How do regular dental cleanings slow the progression of dental disease?,1,How,,1,
EST,Teeth are the same in us as in our pets.,0,,,1,
ESV,What are many sympathy cards that we use now are purchased from?,1,What,,1,
ESX,What are the name of the provider accredited by the International Association of Pet Cemeteries and Crematoriums?,1,What,,0,What is the name of the provider accredited by the International Association of Pet Cemeteries and Crematoriums?
ETA,Diabetes insipidus is caused by what?,1,What,,1,
ETF,What are good diet options for a diabetic dog?,1,What,,1,
ETH,What is a particular problem that can lead to significant pain and infection?,1,What,,1,
ETI,How can a dentist help you see tartar?,1,How,,1,
ETL,Can you be sure a pet is showing all the signs of a pet being abused or neglected? What would be the potential trigger behind this behavior?,1,YN,What,1,
ETO,What is the key to managing diabetic pets to keep your cat's blood sugar near normal levels and avoid too high or too low levels?,1,What,,1,
